date,AAPL,AMD,AMZN,AXISBANK.NS,BAC,BAJFINANCE.NS,GOOGL,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JPM,LT.NS,META,MSFT,NVDA,ONGC.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,TSLA,WIPRO.NS
2023-09-08,-0.095326,-0.868997,1.001019,0.214678,0.853484,0.279432,1.089616,0.24226,0.938878,0.391376,0.315244,0.416807,-1.172135,0.320853,0.470918,-0.444485,1.266319,-0.805369,1.068491,0.336064,0.421689,-0.386371,0.537401,-1.082717,-0.795942
2023-09-11,-0.394295,-1.863586,3.13514,1.894483,-0.105229,-0.449161,0.27831,0.391681,0.178036,0.893068,0.338478,0.466112,0.269056,-0.200341,-0.371774,2.040408,0.207571,-2.101927,-1.105421,0.921701,0.800684,0.538703,0.104366,3.522911,0.427253
2023-09-12,-1.777259,1.06526,-0.765888,-0.900988,1.79199,0.138799,-0.675178,-0.202333,-0.189023,-1.967434,0.040402,1.254636,0.501227,1.273354,-0.254099,-1.524494,-1.206009,0.295051,-2.136874,-1.778087,-0.89279,2.542957,-0.940595,-1.211404,-0.480441
2023-09-13,-1.303035,2.48335,2.766945,1.146617,-0.824182,0.627251,1.199208,-0.526521,0.772389,0.50321,0.0,-0.441862,0.287486,-0.631188,-1.248514,0.892979,1.433703,1.98431,1.099505,0.452871,1.368115,-0.091008,2.679313,0.45543,0.172434
2023-09-14,1.000003,-1.66006,-0.248139,0.635814,0.102848,0.24612,0.363372,0.214701,-0.082103,-0.406211,-0.463567,0.129565,-1.305116,0.953736,-0.215385,1.623528,-0.132679,-0.803046,1.705003,-0.272356,-0.192167,-0.280108,-0.49427,1.739644,-0.444795
2023-09-15,-0.832956,-4.317905,-1.611888,0.602353,-0.379968,-0.090686,-0.420352,0.819163,0.712121,-0.206081,0.21205,-0.421609,0.066958,-0.073866,-0.833616,-3.626324,-1.988606,-3.178135,-2.634326,-0.41126,-0.091764,0.853454,-0.398577,-1.138524,0.28422
2023-09-18,0.844291,1.537396,-0.355923,0.313251,-0.138885,0.797844,1.171222,0.230415,-1.493572,0.700014,0.010104,-0.870488,0.825245,0.647942,0.338491,1.46215,0.384384,2.849253,0.511301,-0.147542,0.860058,0.729036,2.533006,-2.168463,-1.122318
2023-09-20,-2.103084,-1.973431,-2.352948,1.48178,-0.902465,0.672355,-3.143103,0.928601,-2.207633,0.702149,0.57053,0.951771,0.276732,-0.902099,-1.262405,-1.763637,-2.65243,-3.12156,0.938589,-1.687961,0.041608,0.727655,-0.221789,-1.666422,-0.955669
2023-09-21,-0.355205,-2.525353,-1.978172,-1.183515,-1.093094,-0.608236,-0.760803,-0.46729,0.022535,0.298057,-2.107253,1.022498,-1.170496,-0.298145,0.49566,0.010145,0.084567,-1.361138,-0.902334,-0.427373,-1.974996,-0.090566,0.136364,-0.833822,-0.220977
2023-09-22,0.068698,-0.742882,-1.517814,0.816832,-1.531886,-0.301578,-0.390023,0.098236,-1.882615,0.585492,-0.648198,0.284872,-0.983238,-1.059133,0.336922,-0.073505,-1.341341,0.091413,-0.803858,-0.885945,0.783492,0.548267,-0.736633,-4.864021,-1.390197
2023-09-25,1.079222,1.49036,1.476503,0.369385,0.363638,3.232341,0.985904,-0.515752,0.393443,-0.26586,0.63664,-1.053794,-0.112846,0.756788,-0.52948,1.755504,0.300077,1.517156,-0.268817,-0.42333,-1.238572,-0.703681,0.288592,1.483277,-1.051372
2023-09-26,-1.635969,-0.559586,-3.181672,-0.475954,-0.6218,0.648987,-0.924711,-0.201744,0.82951,0.200079,-1.068877,-1.250718,-0.259245,0.228206,-0.084046,0.436736,-0.948812,-0.214281,0.94086,0.168906,0.067344,0.50734,-0.953245,0.469174,-0.935699
2023-09-27,-1.268684,1.291056,0.174937,1.50997,0.1469,-0.222151,1.532228,0.206593,0.252789,1.039984,-0.33816,0.755495,1.514297,0.406362,1.473308,-0.901988,0.156907,0.326002,-1.082939,1.083845,-0.623475,-0.019497,-0.993286,-1.539341,0.824741
2023-09-28,0.797216,4.92138,1.564014,0.379749,1.435404,-0.842429,1.902342,-1.522477,-0.67145,-1.585996,-0.306719,-1.938148,-2.044666,0.895541,0.702576,1.679263,0.852125,1.481398,-0.7676,-2.052031,-0.219871,-1.756944,-1.872572,2.649779,-2.677069
2023-09-29,-0.470874,-1.786229,-0.842429,0.562608,-1.828613,0.927121,-1.815725,-0.024284,0.170644,0.00203,0.549278,0.233921,0.542981,-2.409153,-0.541117,-2.332622,-0.629426,-0.748395,1.777192,0.136645,0.961459,-0.243126,-0.356007,0.088,0.259256
2023-10-03,0.081272,-1.689589,-2.60815,0.584546,-2.189505,2.40078,-1.127378,0.503039,-1.240992,-0.847393,-1.187472,-0.142756,-0.283447,-0.342172,1.077125,-1.091174,-2.318976,-2.881183,-2.48283,-0.506451,1.064371,-0.575798,1.506922,-0.836653,-0.246033
2023-10-04,1.502138,3.397912,0.745679,-3.84411,0.231845,-2.130214,1.845028,0.449761,2.31104,1.653799,-0.529413,1.357893,-0.830019,0.111742,-1.186322,2.293032,1.569911,0.683553,-0.921657,0.223036,-2.291667,1.475775,-0.607348,5.24704,0.546308
2023-10-05,0.644462,-0.483512,-0.591903,0.325,1.086109,-0.80797,0.0,-1.084872,0.045598,0.061559,0.604145,0.788564,-0.89773,0.605464,2.093947,0.052524,0.084612,1.448355,0.524136,-0.22205,0.364411,0.994657,1.3422,0.019226,-0.281903
2023-10-06,2.123131,4.972586,3.060563,-0.402984,1.164141,4.057959,2.663986,-1.142176,-0.644427,-0.815494,-0.084565,0.62606,0.982071,1.532435,-0.682194,4.641053,3.383359,3.550337,-1.117168,0.040998,0.143238,0.846558,2.46904,2.578944,-0.036763
